DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 hombre_two_5_36_decoded	 3.520	 0.000	 0	 8000	0.0040
 hombre_two_5_37_decoded	 3.302	 0.000	 0	 8000	0.0040
 hombre_two_5_38_decoded	 3.332	 0.000	 0	 8000	0.0040
 hombre_two_5_39_decoded	 3.622	 0.000	 0	 8000	0.0040
 hombre_two_5_40_decoded	 3.494	 0.000	 0	 8000	0.0040
 hombre_two_5_41_decoded	 3.187	 0.000	 0	 8000	0.0080
 hombre_two_5_42_decoded	 3.483	 0.000	 0	 8000	0.0040
 hombre_two_5_43_decoded	 3.386	 0.000	 0	 8000	0.0040
 hombre_two_5_44_decoded	 3.617	 0.000	 0	 8000	0.0040
 hombre_two_5_45_decoded	 3.437	 0.000	 0	 8000	0.0040
 hombre_two_5_46_decoded	 3.636	 0.000	 0	 8000	0.0040
 hombre_two_5_47_decoded	 3.629	 0.000	 0	 8000	0.0040
 hombre_two_5_48_decoded	 3.493	 0.000	 0	 8000	0.0040
 hombre_two_5_49_decoded	 3.663	 0.000	 0	 8000	0.0040
 hombre_two_5_50_decoded	 3.194	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_1_decoded	 3.376	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_2_decoded	 3.377	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_3_decoded	 3.342	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_4_decoded	 3.248	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_5_decoded	 3.375	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_6_decoded	 1.997	 0.000	 0	 8000	-6.3600
 poema_aristizabal_5_7_decoded	 3.328	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_8_decoded	 3.385	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_9_decoded	 3.396	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_10_decoded	 0.238	 0.000	 0	 8000	-5.4240
 poema_aristizabal_5_11_decoded	 3.354	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_12_decoded	 3.343	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_13_decoded	 3.375	 0.000	 0	 8000	0.0040
 poema_aristizabal_5_14_decoded	 3.370	 0.000	 0	 8000	0.0040
