REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 hombre_two	 hombre_two_5_9_decoded	 SQValue=3.535	 3.535	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_10_decoded	 SQValue=3.241	 3.241	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_11_decoded	 SQValue=3.396	 3.396	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_12_decoded	 SQValue=0.382	 0.382	 0.000	 0	 8000	-0.3720
 hombre_two	 hombre_two_5_13_decoded	 SQValue=3.610	 3.610	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_14_decoded	 SQValue=3.633	 3.633	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_15_decoded	 SQValue=3.508	 3.508	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_16_decoded	 SQValue=3.273	 3.273	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_17_decoded	 SQValue=3.577	 3.577	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_18_decoded	 SQValue=3.386	 3.386	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_19_decoded	 SQValue=3.596	 3.596	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_20_decoded	 SQValue=3.412	 3.412	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_21_decoded	 SQValue=3.493	 3.493	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_22_decoded	 SQValue=3.464	 3.464	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_23_decoded	 SQValue=3.310	 3.310	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_24_decoded	 SQValue=3.226	 3.226	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_25_decoded	 SQValue=3.445	 3.445	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_26_decoded	 SQValue=3.333	 3.333	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_27_decoded	 SQValue=3.533	 3.533	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_28_decoded	 SQValue=3.767	 3.767	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_29_decoded	 SQValue=3.708	 3.708	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_30_decoded	 SQValue=3.369	 3.369	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_31_decoded	 SQValue=3.461	 3.461	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_32_decoded	 SQValue=3.280	 3.280	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_33_decoded	 SQValue=3.499	 3.499	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_34_decoded	 SQValue=3.577	 3.577	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_35_decoded	 SQValue=3.385	 3.385	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_36_decoded	 SQValue=3.520	 3.520	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_37_decoded	 SQValue=3.302	 3.302	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_38_decoded	 SQValue=3.332	 3.332	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_39_decoded	 SQValue=3.622	 3.622	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_40_decoded	 SQValue=3.494	 3.494	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_41_decoded	 SQValue=3.187	 3.187	 0.000	 0	 8000	0.0080
 hombre_two	 hombre_two_5_42_decoded	 SQValue=3.483	 3.483	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_43_decoded	 SQValue=3.386	 3.386	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_44_decoded	 SQValue=3.617	 3.617	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_45_decoded	 SQValue=3.437	 3.437	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_46_decoded	 SQValue=3.636	 3.636	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_47_decoded	 SQValue=3.629	 3.629	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_48_decoded	 SQValue=3.493	 3.493	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_49_decoded	 SQValue=3.663	 3.663	 0.000	 0	 8000	0.0040
 hombre_two	 hombre_two_5_50_decoded	 SQValue=3.194	 3.194	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_1_decoded	 SQValue=3.376	 3.376	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_2_decoded	 SQValue=3.377	 3.377	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_3_decoded	 SQValue=3.342	 3.342	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_4_decoded	 SQValue=3.248	 3.248	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_5_decoded	 SQValue=3.375	 3.375	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_6_decoded	 SQValue=1.997	 1.997	 0.000	 0	 8000	-6.3600
 poema_aristizabal	 poema_aristizabal_5_7_decoded	 SQValue=3.328	 3.328	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_8_decoded	 SQValue=3.385	 3.385	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_9_decoded	 SQValue=3.396	 3.396	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_10_decoded	 SQValue=0.238	 0.238	 0.000	 0	 8000	-5.4240
 poema_aristizabal	 poema_aristizabal_5_11_decoded	 SQValue=3.354	 3.354	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_12_decoded	 SQValue=3.343	 3.343	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_13_decoded	 SQValue=3.375	 3.375	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_14_decoded	 SQValue=3.370	 3.370	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_15_decoded	 SQValue=3.456	 3.456	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_16_decoded	 SQValue=3.392	 3.392	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_17_decoded	 SQValue=3.427	 3.427	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_18_decoded	 SQValue=3.455	 3.455	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_19_decoded	 SQValue=3.415	 3.415	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_20_decoded	 SQValue=3.468	 3.468	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_21_decoded	 SQValue=3.422	 3.422	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_22_decoded	 SQValue=2.858	 2.858	 0.000	 0	 8000	-6.3600
 poema_aristizabal	 poema_aristizabal_5_23_decoded	 SQValue=3.447	 3.447	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_24_decoded	 SQValue=3.280	 3.280	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_25_decoded	 SQValue=3.440	 3.440	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_26_decoded	 SQValue=3.285	 3.285	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_27_decoded	 SQValue=3.317	 3.317	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_28_decoded	 SQValue=3.251	 3.251	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_29_decoded	 SQValue=3.376	 3.376	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_30_decoded	 SQValue=3.423	 3.423	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_31_decoded	 SQValue=3.450	 3.450	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_32_decoded	 SQValue=3.334	 3.334	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_33_decoded	 SQValue=3.422	 3.422	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_34_decoded	 SQValue=3.426	 3.426	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_35_decoded	 SQValue=3.387	 3.387	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_36_decoded	 SQValue=3.335	 3.335	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_37_decoded	 SQValue=3.396	 3.396	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_38_decoded	 SQValue=2.520	 2.520	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_39_decoded	 SQValue=3.443	 3.443	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_40_decoded	 SQValue=3.390	 3.390	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_41_decoded	 SQValue=3.393	 3.393	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_42_decoded	 SQValue=3.412	 3.412	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_43_decoded	 SQValue=3.485	 3.485	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_44_decoded	 SQValue=3.372	 3.372	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_45_decoded	 SQValue=3.398	 3.398	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_46_decoded	 SQValue=3.358	 3.358	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_47_decoded	 SQValue=3.376	 3.376	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_48_decoded	 SQValue=3.377	 3.377	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_49_decoded	 SQValue=3.365	 3.365	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_5_50_decoded	 SQValue=3.242	 3.242	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_1_decoded	 SQValue=0.233	 0.233	 0.000	 0	 8000	-5.4760
 poema_aristizabal	 poema_aristizabal_10_2_decoded	 SQValue=3.226	 3.226	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_3_decoded	 SQValue=3.173	 3.173	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_4_decoded	 SQValue=3.217	 3.217	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_5_decoded	 SQValue=3.063	 3.063	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_6_decoded	 SQValue=3.072	 3.072	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_7_decoded	 SQValue=3.010	 3.010	 0.000	 0	 8000	0.0040
 poema_aristizabal	 poema_aristizabal_10_8_decoded	 SQValue=3.847	 3.847	 0.000	 0	 8000	-6.6640
 poema_aristizabal	 poema_aristizabal_10_9_decoded	 SQValue=3.068	 3.068	 0.000	 0	 8000	0.0040
